SCORING,GP,GS,MPG,PPG,PPS,HIGH
"1 Embiid, Joel Embiid, J. C",34,34,30.8,23.0,1.44,38
"2 Harris, Tobias Harris, T. SF",50,50,34.4,19.3,1.23,35
"3 Simmons, Ben Simmons, B. PG",48,48,36.2,16.7,1.45,34
"4 Richardson, Josh Richardson, J. SG",38,38,31.5,15.0,1.19,32
"5 Horford, Al Horford, A. C",45,45,31.1,12.5,1.1,32
"6 Korkmaz, Furkan Korkmaz, F. SG",49,11,20.9,8.8,1.17,24
"7 Milton, Shake Milton, S. SG",17,4,14.1,6.6,1.35,27
"8 Burke, Trey Burke, T. PG",24,0,13.2,6.1,1.18,21
"9 Ennis, James Ennis, J. SF",48,0,15.8,5.9,1.27,20
"10 Scott, Mike Scott, M. PF",50,7,17.7,5.6,1.08,21
"11 Thybulle, Matisse Thybulle, M. SF",42,10,20.2,5.0,1.15,20
"12 Neto, Raul Neto, R. PG",41,2,11.4,4.2,1.16,19
"13 O'Quinn, Kyle O'Quinn, K. C",21,1,10.3,3.3,1.15,11
"14 Pelle, Norvel Pelle, N. PF",14,0,11.1,2.5,1.3,6
"15 Bolden, Jonah Bolden, J. PF",4,0,3.5,1.0,1.33,2
"15 Smith, Zhaire Smith, Z. SG",4,0,6.3,1.0,0.57,3
"1 Antetokounmpo, Giannis Antetokounmpo, G. SF",45,45,30.7,30.0,1.49,50
"2 Middleton, Khris Middleton, K. SF",42,39,29.1,20.4,1.4,51
"3 Bledsoe, Eric Bledsoe, E. PG",41,41,26.6,15.4,1.33,34
"4 Lopez, Brook Lopez, B. C",47,46,26.5,10.2,1.13,19
"5 Hill, George Hill, G. PG",44,0,21.1,9.7,1.51,24
"6 DiVincenzo, Donte DiVincenzo, D. SG",44,20,22.8,9.1,1.21,19
"7 Ilyasova, Ersan Ilyasova, E. PF",45,5,16.5,7.7,1.36,18
"8 Matthews, Wesley Matthews, W. SG",46,46,24.1,7.2,1.19,19
"9 Korver, Kyle Korver, K. SG",43,0,16.8,6.4,1.33,17
"10 Lopez, Robin Lopez, R. C",45,2,14.2,5.5,1.23,17
"11 Brown, Sterling Brown, S. SG",34,0,14.9,5.1,1.07,12
"12 Connaughton, Pat Connaughton, P. SG",45,0,17.8,4.9,1.15,18
"13 Bender, Dragan Bender, D. PF",7,0,13.0,3.7,1.24,12
"14 Wilson, D.J. Wilson, D. PF",26,0,9.0,3.1,1.01,19
"15 Antetokounmpo, Thanasis Antetokounmpo, T. SF",15,1,4.1,2.0,1.3,10
"16 Mason, Frank Mason, F. PG",4,0,4.5,1.3,0.71,4
"1 LaVine, Zach LaVine, Z. SG",52,52,34.4,24.9,1.28,49
"2 Markkanen, Lauri Markkanen, L. PF",46,46,30.3,15.0,1.25,35
