PlayerID,FirstName,LastName,Height,Weight,Team,BirthDate
20000439,Nene,Hilario,83,250,HOU,1982-09-13T00:00:00
20000441,Bradley,Beal,75,207,WAS,1993-06-28T00:00:00
20000442,John,Wall,76,210,WAS,1990-09-06T00:00:00
20000443,Otto,Porter,80,198,CHI,1993-06-03T00:00:00
20000452,Garrett,Temple,77,195,BKN,1986-05-08T00:00:00
20000453,Terrence,Ross,78,206,ORL,1991-02-05T00:00:00
20000455,Jonas,Valanciunas,83,265,MEM,1992-05-06T00:00:00
20000456,DeMar,DeRozan,78,220,SA,1989-08-07T00:00:00
20000457,Kyle,Lowry,72,196,TOR,1986-03-25T00:00:00
20000459,Lou,Williams,73,175,LAC,1986-10-27T00:00:00
20000460,Patrick,Patterson,80,235,LAC,1989-03-14T00:00:00
20000464,James,Johnson,79,240,MIA,1987-02-20T00:00:00
20000466,Bruno,Caboclo,81,218,MEM,1995-09-21T00:00:00
20000468,Anthony,Davis,82,253,LAL,1993-03-11T00:00:00
20000471,Eric,Gordon,75,215,HOU,1988-12-25T00:00:00
20000474,Jrue,Holiday,75,205,NO,1990-06-12T00:00:00
20000482,Draymond,Green,78,230,GS,1990-03-04T00:00:00
20000483,Harrison,Barnes,80,225,SAC,1992-05-30T00:00:00
20000485,Stephen,Curry,75,185,GS,1988-03-14T00:00:00
20000486,Klay,Thompson,78,215,GS,1990-02-08T00:00:00
20000487,Andre,Iguodala,78,215,MEM,1984-01-28T00:00:00
20000492,Justin,Holiday,78,180,IND,1989-04-05T00:00:00
20000497,Giannis,Antetokounmpo,83,242,MIL,1994-12-06T00:00:00
20000498,Ersan,Ilyasova,81,235,MIL,1987-05-15T00:00:00
20000500,Khris,Middleton,79,222,MIL,1991-08-12T00:00:00
20000501,Michael,Carter-Williams,77,190,ORL,1991-10-10T00:00:00
20000502,John,Henson,81,219,CLE,1990-12-28T00:00:00
20000505,Jared,Dudley,78,237,LAL,1985-07-10T00:00:00
20000511,Jabari,Parker,80,245,ATL,1995-03-15T00:00:00
20000515,Jimmy,Butler,79,230,MIA,1989-09-14T00:00:00
20000516,Derrick,Rose,74,200,DET,1988-10-04T00:00:00
