SCORING,GP,PPG,PPS,PTS/POSS
1 Milwaukee MIL,49,120.0,1.32,1.14
2 Houston HOU,49,118.7,1.3,1.14
3 Dallas DAL,49,116.4,1.29,1.17
4 Washington WAS,48,115.7,1.26,1.12
5 Los Angeles LAC,49,115.4,1.28,1.13
6 New Orleans NOP,50,115.1,1.25,1.1
7 Los Angeles LAL,48,114.0,1.29,1.13
8 San Antonio SAS,48,113.6,1.27,1.12
9 Memphis MEM,49,113.5,1.25,1.1
9 Portland POR,50,113.5,1.24,1.12
11 Phoenix PHX,49,112.9,1.27,1.1
12 Toronto TOR,50,112.6,1.27,1.11
13 Boston BOS,48,112.5,1.26,1.13
14 Miami MIA,48,111.8,1.33,1.12
15 Minnesota MIN,48,111.5,1.22,1.07
16 Utah UTA,49,111.1,1.31,1.12
17 Oklahoma City OKC,50,110.5,1.29,1.11
18 Brooklyn BKN,48,110.1,1.22,1.07
19 Denver DEN,50,109.8,1.22,1.12
20 Indiana IND,49,109.6,1.24,1.11
21 Detroit DET,51,109.3,1.27,1.1
22 Atlanta ATL,50,109.0,1.21,1.05
23 Philadelphia PHI,50,108.4,1.25,1.09
24 Sacramento SAC,49,107.4,1.22,1.08
25 Golden State GSW,50,106.1,1.19,1.05
26 Chicago CHI,52,105.9,1.2,1.06
27 Cleveland CLE,50,105.5,1.2,1.06
28 New York NYK,50,103.8,1.16,1.05
29 Orlando ORL,49,103.2,1.17,1.05
30 Charlotte CHA,49,103.0,1.2,1.06
